Kennung;Titel;Ver;Gew;LP;Sem;Modulturnus;Moduldauer
M-CIWVT-101121;Wasserchemie und Wassertechnologie I;1;1;9,0;0;Jedes Wintersemester;1 Semester
M-CIWVT-101122;"Wasserchemie und
Wassertechnologie II";1;1;9,0;0;Jedes Semester;2 Semester
M-MACH-101286;Werkzeugmaschinen und Handhabungstechnik;4;1;9,0;0;Jedes Wintersemester;1 Semester
M-WIWI-101808;Seminarmodul;6;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-102808;Digital Service Systems in Industry;6;1;9,0;1;Jedes Semester;2 Semester
M-WIWI-105011;Student Innovation Lab (SIL) 2;1;1;9,0;1 - 2;Jedes Wintersemester;2 Semester
M-WIWI-101628;Vertiefung Informatik;12;1;9,0;1;Jedes Semester;1 Semester
M-WIWI-101630;Wahlpflicht Informatik;12;1;9,0;1;Jedes Semester;1 Semester
M-WIWI-101637;Analytics und Statistik;2;1;9,0;1;Jedes Semester;2 Semester
M-WIWI-101639;Ökonometrie und Statistik II;3;1;9,0;1;Jedes Semester;1 Semester
M-INFO-101242;Governance, Risk & Compliance;6;1;9,0;1;Jedes Semester;2 Semester
M-INFO-101217;Öffentliches Wirtschaftsrecht;4;1;9,0;1;Jedes Semester;2 Semester
M-INFO-101215;Recht des geistigen Eigentums;3;1;9,0;1;Jedes Semester;2 Semester
M-INFO-101216;Recht der Wirtschaftsunternehmen;3;1;9,0;1;Jedes Semester;2 Semester
M-GEISTSOZ-101169;Soziologie;2;1;9,0;1;Jedes Semester;2 Semester
M-INFO-101191;Wirtschaftsprivatrecht;3;1;9,0;1;Jedes Semester;3 Semester
