sep=;
Modul;Kennung;Titel;Ver;Gew;LP;Sem
M-WIWI-101471;T-WIWI-102763;Supply Chain Management with Advanced Planning Systems;1;1;3,5;0
M-WIWI-101471;T-WIWI-102826;Risk Management in Industrial Supply Networks;1;1;3,5;0
M-WIWI-101471;T-WIWI-102828;Supply Chain Management in der Automobilindustrie;1;1;3,5;0
M-WIWI-101471;T-WIWI-103134;Project Management;1;1;3,5;0
M-WIWI-101471;T-WIWI-102634;Emissionen in die Umwelt;1;1;3,5;0
M-WIWI-101471;T-WIWI-102882;International Management in Engineering and Production;1;1;3,5;0
M-WIWI-101471;T-WIWI-110512;Life Cycle Assessment;1;1;3,5;0
M-WIWI-101412;T-WIWI-102632;Produktions- und Logistikmanagement;1;1;5,5;0
M-WIWI-101412;T-WIWI-102634;Emissionen in die Umwelt;1;1;3,5;0
M-WIWI-101412;T-WIWI-102882;International Management in Engineering and Production;1;1;3,5;0
M-WIWI-101412;T-WIWI-110512;Life Cycle Assessment;1;1;3,5;0
M-WIWI-101412;T-WIWI-102763;Supply Chain Management with Advanced Planning Systems;1;1;3,5;0
M-WIWI-101412;T-WIWI-102826;Risk Management in Industrial Supply Networks;1;1;3,5;0
M-WIWI-101412;T-WIWI-102828;Supply Chain Management in der Automobilindustrie;1;1;3,5;0
M-WIWI-101412;T-WIWI-103134;Project Management;1;1;3,5;0
M-WIWI-101411;T-WIWI-107501;Energy Market Engineering;1;1;4,5;0
M-WIWI-101411;T-WIWI-102640;Market Engineering: Information in Institutions;1;1;4,5;0
M-WIWI-101411;T-WIWI-109940;Spezialveranstaltung Wirtschaftsinformatik;2;1;4,5;0
M-WIWI-104068;T-WIWI-105777;Business Intelligence Systems;2;1;4,5;0
M-WIWI-104068;T-WIWI-110851;Designing Interactive Systems;1;1;4,5;0
M-WIWI-104068;T-WIWI-108437;Seminarpraktikum: Information Systems und Service Design;2;1;4,5;0
M-WIWI-101507;T-WIWI-102893;Innovationsmanagement: Konzepte, Strategien und Methoden;1;0,5;3,0;0
M-WIWI-101507;T-WIWI-102873;Aktuelle Themen im Innovationsmanagement;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-110867;Die Aushandlung von Open Innovation;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-108875;Digitale Transformation und Geschäftsmodelle;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-102852;Fallstudienseminar Innovationsmanagement;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-108774;Innovationsprozesse analysieren und evaluieren;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-110234;Innovationsprozesse Live;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-110263;Methoden im Innovationsmanagement;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-102853;Roadmapping;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-110987;Seminar Methoden entlang des Innovationsprozesses;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-110986;Seminar Strategische Vorausschau am Praxisbeispiel China;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-109932;Soziale Innovationen unter die Lupe genommen;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-102858;Technologiebewertung;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-102854;Technologien für das Innovationsmanagement;2;0,25;3,0;0
M-WIWI-101507;T-WIWI-102873;Aktuelle Themen im Innovationsmanagement;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-102866;Design Thinking;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-110867;Die Aushandlung von Open Innovation;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-108875;Digitale Transformation und Geschäftsmodelle;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-102833;Entrepreneurial Leadership & Innovation Management;3;0,25;3,0;0
M-WIWI-101507;T-WIWI-102864;Entrepreneurship;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-102852;Fallstudienseminar Innovationsmanagement;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-108774;Innovationsprozesse analysieren und evaluieren;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-110234;Innovationsprozesse Live;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-110263;Methoden im Innovationsmanagement;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-102853;Roadmapping;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-110987;Seminar Methoden entlang des Innovationsprozesses;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-110986;Seminar Strategische Vorausschau am Praxisbeispiel China;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-109932;Soziale Innovationen unter die Lupe genommen;1;0,25;3,0;0
M-WIWI-101507;T-WIWI-102854;Technologien für das Innovationsmanagement;2;0,25;3,0;0
M-WIWI-101507;T-WIWI-102858;Technologiebewertung;1;0,25;3,0;0
M-WIWI-105312;T-WIWI-111100;Current Directions in Consumer Psychology;1;1;3,0;0
M-WIWI-105312;T-WIWI-111099;Judgment and Decision Making;1;1;4,5;0
M-WIWI-105312;T-WIWI-107720;Market Research;1;1;4,5;0
M-WIWI-105312;T-WIWI-109864;Product and Innovation Management;1;1;3,0;0
M-WIWI-105312;T-WIWI-102834;Case Studies in Sales and Pricing;3;1;1,5;0
M-WIWI-105312;T-WIWI-106981;Digital Marketing and Sales in B2B;1;1;1,5;0
M-WIWI-105312;T-WIWI-110985;International Business Development and Sales;1;1;6,0;0
M-WIWI-105312;T-WIWI-102835;Marketing Strategy Planspiel;1;1;1,5;0
M-WIWI-105312;T-WIWI-102891;Preisverhandlungen und Verkaufspräsentationen;3;1;1,5;0
M-WIWI-105312;T-WIWI-102883;Pricing;1;1;4,5;0
